Model,First flight,Seats,Sector,Fuel Efficiency (L/100km),Class
Antonov An-148 ,2004,89,446,5.95,Commuter (446 - 572km)
Antonov An-158 ,2010,99,446,5.47,Commuter (446 - 572km)
ATR 42-500,1995,48,560,3.15,Commuter (446 - 572km)
ATR 72-500,1997,70,560,2.53,Commuter (446 - 572km)
Beechcraft 1900D ,1982,19,560,6.57,Commuter (446 - 572km)
Bombardier CRJ100,1991,50,560,5.5,Commuter (446 - 572km)
Bombardier CRJ200,1995,50,560,5.43,Commuter (446 - 572km)
Bombardier CRJ700,1999,70,560,5.25,Commuter (446 - 572km)
Bombardier CRJ900,2001,88,560,4.91,Commuter (446 - 572km)
Bombardier Dash 8 Q400,1998,78,560,3.46,Commuter (446 - 572km)
Dornier 228,1981,19,560,6.22,Commuter (446 - 572km)
Dornier 328,1991,32,560,4.76,Commuter (446 - 572km)
Embraer Brasilia,1983,30,560,3.82,Commuter (446 - 572km)
Embraer ERJ-135ER ,1998,37,572,5.52,Commuter (446 - 572km)
Embraer ERJ-145ER ,1995,50,565,4.37,Commuter (446 - 572km)
Saab 340,1983,32,560,4.29,Commuter (446 - 572km)
Saab 2000,1992,50,560,4.39,Commuter (446 - 572km)
Xian MA700,2019,78,560,2.71,Commuter (446 - 572km)
Airbus A319neo,2015,144,1100,2.92,"Regional (930 - 1,267km)"
Airbus A319neo,2015,124,1220,2.82,"Regional (930 - 1,267km)"
Airbus A320neo,2015,154,1220,2.25,"Regional (930 - 1,267km)"
Airbus A321neo,2015,192,1220,2.19,"Regional (930 - 1,267km)"
Antonov An-148,2004,89,1267,4.06,"Regional (930 - 1,267km)"
Antonov An-158,2010,99,1267,3.79,"Regional (930 - 1,267km)"
Boeing 737-300,1984,126,939,3.46,"Regional (930 - 1,267km)"
Boeing 737-600,1998,110,930,3.59,"Regional (930 - 1,267km)"
Boeing 737-700,1997,126,930,3.19,"Regional (930 - 1,267km)"
Boeing 737 MAX 7,2017,128,1220,2.77,"Regional (930 - 1,267km)"
Boeing 737 MAX 7,2017,144,1100,2.93,"Regional (930 - 1,267km)"
Boeing 737-800,1997,162,930,2.77,"Regional (930 - 1,267km)"
Boeing 737 MAX 8,2017,166,1220,2.28,"Regional (930 - 1,267km)"
